site,title,company,location,date_posted,min_amount,max_amount,interval
linkedin,AI/ML Engineer,Rakuten,"Bengaluru, Karnataka, India",2026-06-01,,,
linkedin,Machine Learning Engineer,Persistent Systems,"Pune City, Maharashtra, India",2026-05-30,,,
linkedin,Interesting Job Opportunity: Artificial Intelligence Engineer - Data Modeling,iGauri Solutions Pvt. Ltd,,2026-05-30,,,
linkedin,Artificial Intelligence Engineer,Simform,"Ahmedabad, Gujarat, India",2026-05-29,,,
linkedin,Applied AI Research Engineer,Accrete,,2026-05-28,,,
linkedin,Consultant - Gen AI,KPMG India,"Bengaluru, Karnataka, India",2026-05-26,,,
linkedin,AI / ML Engineer,Accenture in India,"Mumbai, Maharashtra, India",2026-05-25,,,
linkedin,ML Developer (Machine Learning Developer),AI CERTs® - India,"Gandhinagar, Gujarat, India",2026-05-18,,,
linkedin,Junior AI/ML Developer,Drishti IAS,"Delhi, India",2026-05-16,,,
linkedin,Data Scientist - Numpy/Pandas,VAYUZ Technologies,,2026-05-13,,,
linkedin,Search Engineer - AI/ML,Apple,"Bengaluru, Karnataka, India",2026-05-13,,,
linkedin,AI/Machine Learning Engineer,Apple,"Bengaluru, Karnataka, India",2026-05-13,,,
linkedin,Machine Learning Software Engineer,Apple,"Hyderabad, Telangana, India",2026-05-13,,,
linkedin,Data Scientist,Deloitte,"Bengaluru, Karnataka, India",2026-05-07,,,
linkedin,"AI/ML, Python",LTIMindtree,"Bhubaneswar, Odisha, India",2026-05-05,,,
linkedin,Python AI/ML Engineer – Computer Vision & NLP (02 Positions),SolutionChamps DesignLabs,,2026-04-27,,,
linkedin,AI Engineer : Mumbai,CashFlo,,2026-04-19,,,
linkedin,Generative AI Engineer (LLM Applications),Oswaal Books,"Agra, Uttar Pradesh, India",2026-04-18,,,
linkedin,AI Developer,in-tech GmbH,"Kochi, Kerala, India",2026-04-06,,,
linkedin,AI / ML Engineer,Accenture in India,"Mumbai, Maharashtra, India",2026-01-27,,,
linkedin,AI/Machine Learning Engineer 2,Sanmina,"Chennai, Tamil Nadu, India",2026-01-21,,,
linkedin,AI / ML Engineer,Accenture in India,"Mumbai, Maharashtra, India",2025-11-25,,,
linkedin,Associate Engineer - AI/ML with Python,HARMAN India,"Bengaluru, Karnataka, India",,,,
linkedin,PYTHON + AI/ML DEVELOPER,Terralogic,"Bengaluru, Karnataka, India",,,,
linkedin,Python AI specialist programmer,Infosys,"Bengaluru East, Karnataka, India",,,,
linkedin,Applied AI Engineer – Engineering Intelligence,Ford Motor Company,"Chennai, Tamil Nadu, India",,,,
linkedin,"DCEO Engineer, DCEO",Amazon Web Services (AWS),,2026-06-22,,,
linkedin,Engineer,Tenneco,"Pune Division, Maharashtra, India",2026-06-22,,,
linkedin,MRO Engineer,Infosys,"Bengaluru East, Karnataka, India",2026-06-21,,,
linkedin,Erection Engineer,Larsen & Toubro,"Dhubri, Assam, India",2026-06-21,,,
linkedin,Engineer - P&M,Larsen & Toubro,,2026-06-21,,,
linkedin,Engineer - Precast Execution,Larsen & Toubro,"Hyderabad, Telangana, India",2026-06-21,,,
linkedin,BOP Engineer,Larsen & Toubro,"Vadodara, Gujarat, India",2026-06-21,,,
linkedin,Detail Engineering,Larsen & Toubro,,2026-06-19,,,
linkedin,PRIMARY ENGINEER,Larsen & Toubro,,2026-06-19,,,
linkedin,PRIMARY ENGINEER,Larsen & Toubro,,2026-06-19,,,
linkedin,Engineer - Manufacturing Engineering (Gears & shaft),Eaton,"Ranjangaon, India",2026-06-19,,,
linkedin,Sr. Engineer Plant & Mach ( 82731303 ),Reliance Industries Limited,"Jamnagar, Gujarat, India",2026-06-18,,,
linkedin,TCF Engineer,Tata Technologies,"Pune District, Maharashtra, India",2026-06-17,,,
linkedin,Sr.Engineer- Pre Engineering,IMI,"Chennai, Tamil Nadu, India",2026-06-17,,,
linkedin,"DCEO Engineer, DCEO",Amazon Web Services (AWS),,2026-06-16,,,
linkedin,"Engineer, Manufacturing Engineering",Metso,"Alwar district, India",2026-06-16,,,
linkedin,Engineer,Qualcomm,"Hyderabad, Telangana, India",2026-06-16,,,
linkedin,Associate Engineer [T500-26461],Albertsons Companies India,"Bengaluru, Karnataka, India",2026-06-16,,,
linkedin,Plant Engineering,Infosys,"Bengaluru East, Karnataka, India",2026-06-15,,,
linkedin,Engineer,Valmet,"Pune Division, Maharashtra, India",2026-06-14,,,
linkedin,ENGINEER SPECIALS,MillerKnoll,"Bengaluru, Karnataka, India",2026-06-13,,,
linkedin,Sr Engineer,Tata Communications,"Mumbai, Maharashtra, India",2026-06-12,,,
linkedin,GET Industrial Engineering - Hosur,Festo India,"Hosur, Tamil Nadu, India",2026-06-12,,,
linkedin,SME Granulation (Engineering),SUN PHARMA,,2026-06-11,,,
linkedin,"DCEO Engineer, DCEO",Amazon Web Services (AWS),,2026-06-11,,,
linkedin,Grid Engineer,Siemens Gamesa,"Bengaluru, Karnataka, India",2026-06-11,,,
linkedin,"DCEO Engineer, BOM DCEO",Amazon Web Services (AWS),,2026-06-11,,,
linkedin,QMS Engineering,SUN PHARMA,"Guwahati, Assam, India",2026-06-11,,,
linkedin,DVA Engineer,Tata Technologies,"Pune District, Maharashtra, India",2026-06-10,,,
linkedin,TCF Engineer,Tata Technologies,"Pune District, Maharashtra, India",2026-06-10,,,
linkedin,Job Engineer,Larsen & Toubro,,2026-06-08,,,
linkedin,Cost Engineering,Infosys,"Mysore, Karnataka, India",2026-06-08,,,
linkedin,Executive - Engineering,Nestlé,"Sanand, Gujarat, India",2026-06-08,,,
linkedin,QMS Engineer,Tata Electronics,"Mayang, Assam, India",2026-06-08,,,
linkedin,AsstMgr-Engineering,St. Regis Hotels & Resorts,"Goa, India",2026-06-06,,,
linkedin,Downstream Corrossion Engineer (Relocation to Saudi Arabia is required),aramco,"Gurugram, Haryana, India",2026-06-05,,,
linkedin,Analyzer Engineer (Relocation to Saudi Arabia is required),aramco,"Gurugram, Haryana, India",2026-06-05,,,
linkedin,Engineer Technologist - Jamnagar (81103621),Reliance Industries Limited,"Jamnagar, Gujarat, India",2026-06-04,,,
linkedin,Sr Engr Plng - CES Mech - 81386581 - Patalganga,Reliance Industries Limited,"Panvel, Maharashtra, India",2026-06-03,,,
linkedin,Engineer Intervention KG KKD,Reliance Industries Limited,"Kakinada, Andhra Pradesh, India",2026-06-03,,,
linkedin,Structural Engineering,Reliance Industries Limited,,2026-06-03,,,
linkedin,Stores Eng - JMD CMC Common Servs(81641551),Reliance Industries Limited,"Jamnagar, Gujarat, India",2026-06-03,,,
linkedin,Engineer Contracts Engineering,Lucy Group Ltd,"Nashik, Maharashtra, India",2026-06-02,,,
linkedin,ELV Engineer,Larsen & Toubro,"Chennai, Tamil Nadu, India",2026-05-30,,,
linkedin,GRADE Engineer,Tata Technologies,"Pune District, Maharashtra, India",2026-05-26,,,
linkedin,Seating Engineer,Tata Technologies,"Pune City, Maharashtra, India",2026-05-26,,,
linkedin,NVH Engineer,Tata Technologies,"Pune District, Maharashtra, India",2026-05-26,,,
linkedin,DVA Engineer,Tata Technologies,"Pune District, Maharashtra, India",2026-05-25,,,
linkedin,Sr. Engineer -Hydrofacturing,Reliance Industries Limited,"Shahdol, Madhya Pradesh, India",,,,
linkedin,Engineer- Forging & Valve internals,Larsen & Toubro,"Chorasi, Gujarat, India",,,,
linkedin,Data Scientist - Remote Sensing & ML,Crop Analytica,"Guntur Mandal, Andhra Pradesh, India",2026-06-23,,,
linkedin,Data Scientist,WebMD,,2026-06-23,,,
linkedin,Data Scientist,Scienaptic AI,,2026-06-22,,,
linkedin,Data Scientist_5+ years,Zorba AI,,2026-06-22,,,
linkedin,Data Scientist,Ikigai,"Bengaluru, Karnataka, India",2026-06-22,,,
linkedin,Applied Data Scientist,Squadra Ventures,"Ajmer, Rajasthan, India",2026-06-19,,,
linkedin,AI/ML,Webkul,"Noida, Uttar Pradesh, India",2026-06-19,,,
linkedin,Data Scientist,Infosys,"Bengaluru East, Karnataka, India",2026-06-18,,,
linkedin,Data Scientist,Tibil Solutions,"Gujarat, India",2026-06-17,,,
linkedin,EY - GDS Consulting - AI And DATA - Data Scientist - Senior - E,EY,"Coimbatore, Tamil Nadu, India",2026-06-17,,,
linkedin,Data Scientist,"Simelabs - Digital, AI/ML, Automation, Robotics, Gen AI.","Kerala, India",2026-06-16,,,
linkedin,Data Science,Reliance Retail,"Navi Mumbai, Maharashtra, India",2026-06-16,,,
linkedin,Software Engineer - AIML,Kaleris,"Chennai, Tamil Nadu, India",2026-06-16,,,
linkedin,QA Engineer,Birla Pivot,"Bengaluru, Karnataka, India",2026-06-16,,,
linkedin,Data Scientist,KeyValue,"Kochi, Kerala, India",2026-06-15,,,
linkedin,Data Scientist,Infosys Finacle,"Chennai, Tamil Nadu, India",2026-06-15,,,
linkedin,Python GEN AI,Coforge,"Pune Division, Maharashtra, India",2026-06-13,,,
linkedin,Python GEN AI,Coforge,"Noida, Uttar Pradesh, India",2026-06-13,,,
linkedin,Python Data scientist,Tech Mahindra,"Mumbai, Maharashtra, India",2026-06-12,,,
linkedin,Data Scientist I,SteerLean Consulting,"Rayagada, Odisha, India",2026-06-12,,,
linkedin,Data Scientist,ChicMic Studios,"Sahibzada Ajit Singh Nagar, Punjab, India",2026-06-11,,,
linkedin,Predictive Analytics Data Scientist-AI Labs,Adani Enterprises Limited,"Ahmedabad, Gujarat, India",2026-06-11,,,
linkedin,Data Scientist,Citi,"Bengaluru, Karnataka, India",2026-06-11,,,
linkedin,Data Scientist,Deloitte,"Mumbai, Maharashtra, India",2026-06-11,,,
linkedin,Data Scientist,Astek,"Kochi, Kerala, India",2026-06-09,,,
linkedin,Machine Learning Engineer,LTM,"Bengaluru, Karnataka, India",2026-06-09,,,
linkedin,Data Scientist,Syren,"Hyderabad, Telangana, India",2026-06-08,,,
linkedin,Data Scientist,Tiger Analytics,"Bengaluru, Karnataka, India",2026-06-06,,,
linkedin,Data Scientist,Sequoia,"Bengaluru, Karnataka, India",2026-06-05,,,
linkedin,Data Scientist,UiPath,,2026-06-04,,,
linkedin,Data Scientist,EXL,"Noida, Uttar Pradesh, India",2026-06-04,,,
linkedin,Professional Data Science,Cotality,"Bengaluru, Karnataka, India",2026-06-04,,,
linkedin,Data Scientist,LS Digital Group,"Navi Mumbai, Maharashtra, India",2026-06-03,,,
linkedin,Data Scientist,Xebia,"Hyderabad, Telangana, India",2026-06-03,,,
linkedin,Data Scientist (AI/ML) Role,Birlasoft,"Noida, Uttar Pradesh, India",2026-06-02,,,
linkedin,Data Scientist,Paperchase Accountancy (GDC),"Ahmedabad, Gujarat, India",2026-06-02,,,
linkedin,Data Scientist,ACL Digital,"Gurugram, Haryana, India",2026-06-01,,,
linkedin,Data Scientist,Tata Consultancy Services,"Bengaluru, Karnataka, India",2026-06-01,,,
linkedin,Software Architect_Data Scientist,bebo Technologies,"Chandigarh, India",2026-05-26,,,
linkedin,Junior Data Scientist - R/Python,The IT Firm,"Sahibzada Ajit Singh Nagar, Punjab, India",2026-05-15,,,
linkedin,Data Scientist,Jabil,"Ranjangaon, India",2026-04-29,,,
linkedin,Data Scientist,Nupeak,"Ahmedabad, Gujarat, India",2026-04-27,,,
linkedin,"Data Scientist, Digital Acceleration",Amazon Science,"Chennai, Tamil Nadu, India",2026-04-24,,,
linkedin,Data Scientist - II,Shaadi.com Centre - India,,2026-03-31,,,
linkedin,Data Scientist,NStarX,"Hyderabad, Telangana, India",2025-11-29,,,
linkedin,Machine Learning,App Innovation Technologies,"Tiruchirappalli, Tamil Nadu, India",2025-09-30,,,
linkedin,Data Scientist,Apex Tigre,"Mumbai, Maharashtra, India",2024-11-20,,,
linkedin,Data Scientist-Artificial Intelligence,IBM,"Kochi, Kerala, India",,,,
linkedin,Junior Data Scientist,Comviva,"Yelahanka Satellite Town, Karnataka, India",,,,
linkedin,Data Scientist,Infosys,"Pune Division, Maharashtra, India",,,,
linkedin,Data Scientist,Ujjivan Small Finance Bank,"Bangalore Urban, Karnataka, India",2026-06-23,,,
linkedin,Data Scientist | Remote,Crossing Hurdles,,2026-06-23,,,
linkedin,Junior Data Scientist,Hypersonix Inc.,,2026-06-22,,,
linkedin,ML Engineer,Vivid Computing,"Pune Division, Maharashtra, India",2026-06-22,,,
linkedin,"Software Engineer, AI/ML",Google,"Bengaluru, Karnataka, India",2026-06-20,,,
linkedin,Data Scientist,Infosys,"Bengaluru East, Karnataka, India",2026-06-18,,,
linkedin,Senior Data Scientist,Media.net,"Bengaluru, Karnataka, India",2026-06-18,,,
linkedin,"Machine Learning Engineer II ( Data & Audience Platform Team), Hyderabad",Warner Bros. Discovery,,2026-06-18,,,
linkedin,Data Scientist,Infosys Finacle,"Bengaluru, Karnataka, India",2026-06-17,,,
linkedin,Deep learning Engineer,STMicroelectronics,"Noida, Uttar Pradesh, India",2026-06-17,,,
linkedin,Software Engineer - AIML,Kaleris,"Chennai, Tamil Nadu, India",2026-06-16,,,
linkedin,Data Scientist,Weekday AI (YC W21),"Bengaluru, Karnataka, India",2026-06-16,,,
linkedin,Sr. Software Engineer- Frontend,HDFC Bank,"Navi Mumbai, Maharashtra, India",2026-06-16,,,
linkedin,Data Scientist Expert,Weekday AI (YC W21),"Bengaluru, Karnataka, India",2026-06-16,,,
linkedin,Software Engineer,Cognite,"Bengaluru, Karnataka, India",2026-06-16,,,
linkedin,Machine Learning Engineer,Prorsum Technologies,"Hyderabad, Telangana, India",2026-06-16,,,
linkedin,Machine Learning Engineer (Gen AI),Quantiphi,"Bengaluru, Karnataka, India",2026-06-16,,,
linkedin,Python Data scientist,Tech Mahindra,"Mumbai, Maharashtra, India",2026-06-12,,,
linkedin,Software Engineer (AI),Cisco,"Bengaluru, Karnataka, India",2026-06-12,,,
linkedin,Data Scientist,Deloitte,"Mumbai, Maharashtra, India",2026-06-11,,,
linkedin,Data Scientist,ICICI Lombard,"Mumbai, Maharashtra, India",2026-06-11,,,
linkedin,Phoenix- Data Scientist,Myntra,"Bengaluru, Karnataka, India",2026-06-11,,,
linkedin,AI/ML Engineer,Neilsoft,"Pune City, Maharashtra, India",2026-06-11,,,
linkedin,Marketing Data Scientist,Google,"Gurugram, Haryana, India",2026-06-10,,,
linkedin,Data Scientist,Colgate-Palmolive,,2026-06-10,,,
linkedin,Data Scientist - I,Purplle.com,,2026-06-06,,,
linkedin,Data Scientist,Tiger Analytics,"Bengaluru, Karnataka, India",2026-06-06,,,
linkedin,Data Scientist,Commonwealth Bank,"Bangalore Urban, Karnataka, India",2026-06-05,,,
linkedin,Machine Learning Engineer,Infosys,"Bengaluru, Karnataka, India",2026-06-05,,,
linkedin,Data Scientist,Sequoia,"Bengaluru, Karnataka, India",2026-06-05,,,
linkedin,Data Scientist,PwC India,"Bengaluru, Karnataka, India",2026-06-04,,,
linkedin,"Business Data Scientist, Marketing",Google,"Gurugram, Haryana, India",2026-06-04,,,
linkedin,"AI Research Software Engineer, Code Search",Google,"Bengaluru, Karnataka, India",2026-06-04,,,
linkedin,Data Scientist,EXL,"Noida, Uttar Pradesh, India",2026-06-04,,,
linkedin,Data Scientist,Infosys Finacle,"Chennai, Tamil Nadu, India",2026-06-04,,,
linkedin,Data Scientist I,Honeywell,"Bengaluru, Karnataka, India",2026-06-02,,,
linkedin,Machine Learning Engineer,hackajob,"Pune Division, Maharashtra, India",2026-06-02,,,
linkedin,Data Scientist,EXL,,2026-05-28,,,
linkedin,AI/ML Data Scientist,Infosys Finacle,"Chennai, Tamil Nadu, India",2026-05-27,,,
linkedin,AI Developer,Comviva,"Pune Division, Maharashtra, India",2026-05-21,,,
linkedin,AI/Machine Learning Engineer,Apple,"Bengaluru, Karnataka, India",2026-05-13,,,
linkedin,Data Scientist,Deloitte,"Bengaluru, Karnataka, India",2026-05-07,,,
linkedin,Artificial Intelligence Engineer,Datacurate Technologies,,2026-04-30,,,
linkedin,AI / ML Engineer,Quanteon Solutions,"Hyderabad, Telangana, India",2026-04-25,,,
linkedin,Gen AI,Wissen Technology,"Mumbai, Maharashtra, India",2026-04-22,,,
linkedin,Software Engineer - AI/ML,ValGenesis,"Chennai, Tamil Nadu, India",2026-03-27,,,
linkedin,ML Engineer,Cognine Technologies,"Hyderabad, Telangana, India",2026-01-05,,,
linkedin,"Generative AI Engineer (Mid-Level, 3+ Years Experience)",r3 Consultant,"Coimbatore, Tamil Nadu, India",2025-09-20,,,
linkedin,"Software Engineer, Search",Google,"Bengaluru, Karnataka, India",,,,
linkedin,"Data Engineer, Play Data Science and Analytics",Google,"Bengaluru, Karnataka, India",,,,
